phrase_english,phrase_portuguese,topic_portuguese
Be careful.,Cuidado.,Expressões comuns
Be careful driving.,Cuidado ao dirigir.,Expressões comuns
Can you translate this for me?,Você pode me traduzir isso?,Expressões comuns
Chicago is very different from Boston.,Chicago é bem diferente de Boston.,Expressões comuns
Don't worry.,Não se preocupe.,Expressões comuns
Everyone knows it.,Todo mundo sabe isso.,Expressões comuns
Everything is ready.,Está tudo pronto.,Expressões comuns
Excellent.,Excelente.,Expressões comuns
From time to time.,De tempos em tempos,Expressões comuns
Good idea.,Boa ideia,Expressões comuns
He likes it very much.,Ele gosta muito.,Expressões comuns
Help!,Socorro!,Expressões comuns
He's coming soon.,Ele volta logo,Expressões comuns
He's right.,Ele está certo.,Expressões comuns
He's very annoying.,Ele está aborrecido.,Expressões comuns
He's very famous.,Ele é muito famoso.,Expressões comuns
How are you?,Como vai você?,Expressões comuns
How's work going?,Como vai o trabalho?,Expressões comuns
Hurry!,Depressa!,Expressões comuns
I ate already.,Eu já comi.,Expressões comuns
I can't hear you.,Eu não te ouço.,Expressões comuns
I'd like to go for a walk.,Eu gostaria de ir caminhar.,Expressões comuns
I don't know how to use it.,Eu não sei como usar isto.,Expressões comuns
I don't like him.,Eu não gosto dele.,Expressões comuns
I don't like it.,Eu não gosto.,Expressões comuns
I don't speak very well.,Eu não falo muito bem.,Expressões comuns
I don't understand.,Eu não entendo.,Expressões comuns
I don't want it.,Eu não quero.,Expressões comuns
I don't want that.,Eu não quero isso.,Expressões comuns
I don't want to bother you.,Eu não quero te incomodar.,Expressões comuns
I feel good.,Eu me sinto bem.,Expressões comuns
"If you need my help, please let me know.","Se você precisa de minha ajuda, por favor me diga.",Expressões comuns
I get off of work at 6.,Eu saio do trabalho às 6.,Expressões comuns
I have a headache.,Eu tenho dor de cabeça.,Expressões comuns
I hope you and your wife have a nice trip.,Eu espero que você e tua esposa tenham uma boa viagem.,Expressões comuns
I know.,Eu sei.,Expressões comuns
I like her.,Eu gosto dela.,Expressões comuns
I'll call you when I leave.,Eu te ligo quando sair.,Expressões comuns
I'll come back later.,Eu volto mais tarde.,Expressões comuns
I'll pay.,Eu pagarei.,Expressões comuns
I'll take it.,Eu levo/Eu fico (com alguma coisa),Expressões comuns
I'll take you to the bus stop.,Eu te levo ao ponto de ônibus.,Expressões comuns
Be careful.,Cuidado,Expressões comuns
